Class,Country,Time,Link,Road Name,Road Short Name
1,USA,Former (1956–present),"https://en.wikipedia.org/wiki/Elgin,_Joliet_and_Eastern_Railway","Elgin, Joliet and Eastern Railway",EJ&E
2,USA,1956-present,"https://en.wikipedia.org/wiki/Elgin,_Joliet_and_Eastern_Railway","Elgin, Joliet and Eastern Railway",EJE
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Erie_Lackawanna_Railway,Erie Lackawanna Railway,EL
1,USA,pre–1956,https://en.wikipedia.org/wiki/El_Paso_and_Southwestern_Railroad,El Paso and Southwestern Railroad,EP&SW
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Erie_Railroad,Erie Railroad,ERIE
1,USA,pre–1956,https://en.wikipedia.org/wiki/Florence_and_Cripple_Creek_Railroad,Florence and Cripple Creek Railroad,F&CC
,,,,,FCX
,,,,,FDD&S
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Florida_East_Coast_Railway,Florida East Coast Railway,FEC
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Fonda,_Johnstown_and_Gloversville_Railroad","Fonda, Johnstown and Gloversville Railroad",FJ&G
1,USA,pre–1956,https://en.wikipedia.org/wiki/Fort_Smith_and_Western_Railway,Fort Smith and Western Railway,FS&W
2,USA,1956-present,https://en.wikipedia.org/wiki/Fox_River_Valley_Railroad,Fox Valley and Western Ltd.,FVW
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Fort_Worth_and_Denver_Railway,Fort Worth and Denver Railway,FW&D
1,USA,pre–1956,https://en.wikipedia.org/wiki/Fort_Worth_and_Rio_Grande_Railway,Fort Worth and Rio Grande Railway,FW&RG
1,MEX,Current,https://en.wikipedia.org/wiki/Ferromex,Ferromex,FXE
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Georgia_and_Florida_Railroad_(1926%E2%80%9363),Georgia and Florida Railroad (1926–63),G&F
1,USA,pre–1956,https://en.wikipedia.org/wiki/Gulf_and_Ship_Island_Railroad,Gulf and Ship Island Railroad,G&SI
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Georgia_Railroad_and_Banking_Company,Georgia Railroad and Banking Company,GA
,,,,,GAT
,,,,GATX Corporation,GATX
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Green_Bay_and_Western_Railroad,Green Bay and Western Railroad,GB&W
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Gulf,_Colorado_and_Santa_Fe_Railway","Gulf, Colorado and Santa Fe Railway",GC&SF
,,,,,GCR
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Buffalo_Bayou,_Brazos_and_Colorado_Railway","Buffalo Bayou, Brazos and Colorado Railway",GH&SA
2,USA,Current,https://en.wikipedia.org/wiki/Great_Lakes_Central_Railroad,Great Lakes Central Railroad,GLC
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Gulf,_Mobile_and_Northern_Railroad","Gulf, Mobile and Northern Railroad",GM&N
1,USA,Former (1956–present),"https://en.wikipedia.org/wiki/Gulf,_Mobile_and_Ohio_Railroad","Gulf, Mobile and Ohio Railroad",GM&O
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Great_Northern_Railway_(U.S.),Great Northern Railway (U.S.),GN
,,,,General American Transportation Corporation,GPEX
1,USA,pre–1956,https://en.wikipedia.org/wiki/Grand_Rapids_and_Indiana_Railroad,Grand Rapids and Indiana Railroad,GR&I
,,,,,GRC
,,,,Granite Rock,GRCX
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Georgia_Southern_and_Florida_Railway,Georgia Southern and Florida Railway,GS&F
2,USA,1956-present,https://en.wikipedia.org/wiki/Georgia_Southern_and_Florida_Railway,Georgia Southern and Florida Railway,GSF
1,USA,Current,https://en.wikipedia.org/wiki/Grand_Trunk_Corporation,Grand Trunk Corporation,GTC
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Grand_Trunk_Western_Railroad,Grand Trunk Western Railroad,GTW
,,,,Great Western Railway,GWSR
2,USA,1956-present,https://en.wikipedia.org/wiki/Gateway_Western_Railway,Gateway Western Railway,GWWR
1,USA,pre–1956,https://en.wikipedia.org/wiki/Houston_and_Texas_Central_Railway,Houston and Texas Central Railway,H&TC
1,USA,pre–1956,https://en.wikipedia.org/wiki/Houston_East_and_West_Texas_Railway,Houston East and West Texas Railway,HE&WT
1,USA,pre–1956,https://en.wikipedia.org/wiki/Hocking_Valley_Railway,Hocking Valley Railway,HV
2,USA,Current,https://en.wikipedia.org/wiki/Iowa_Interstate_Railroad,Iowa Interstate Railroad,IAIS
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Illinois_Central_Railroad,Illinois Central Railroad,IC
2,USA,1956-present,"https://en.wikipedia.org/wiki/Iowa,_Chicago_and_Eastern_Railroad","Iowa, Chicago and Eastern Railroad",ICE
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Illinois_Central_Railroad,Illinois Central Gulf Railroad,ICG
1,USA,pre–1956,https://en.wikipedia.org/wiki/Iowa_Central_Railway,Iowa Central Railway,ICRY
1,USA,pre–1956,https://en.wikipedia.org/wiki/International%E2%80%93Great_Northern_Railroad,International–Great Northern Railroad,IGN
2,USA,1956-present,https://en.wikipedia.org/wiki/I%26M_Rail_Link,I&M Rail Link,IMRL
,,,,Indiana Northeastern Railroad,IN
2,USA,Current,https://en.wikipedia.org/wiki/Indiana_Rail_Road,Indiana Rail Road,INRD
1,USA,pre–1956,https://en.wikipedia.org/wiki/Indianapolis_Southern_Railroad,Indianapolis Southern Railroad,ISRR
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Illinois_Terminal_Railroad,Illinois Terminal Railroad,ITC
1,USA,pre–1956,https://en.wikipedia.org/wiki/Kanawha_and_Michigan_Railway,Kanawha and Michigan Railway,K&M
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Kansas_City,_Mexico_and_Orient_Railway","Kansas City, Mexico and Orient Railway",KCM&O
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Kansas_City,_Mexico_and_Orient_Railway","Kansas City, Mexico and Orient Railway of Texas",KCM&OTX
1,USA,Current,https://en.wikipedia.org/wiki/Kansas_City_Southern_Railway,Kansas City Southern Railway,KCS
1,MEX,Current,https://en.wikipedia.org/wiki/Kansas_City_Southern_de_M%C3%A9xico,Kansas City Southern de México,KCSM
2,USA,Current,https://en.wikipedia.org/wiki/Kanawha_River_Railroad,Kanawha River Railroad,KNWA
1,USA,Former (1956–present),"https://en.wikipedia.org/wiki/Kansas,_Oklahoma_and_Gulf_Railway","Kansas, Oklahoma and Gulf Railway",KO&G
2,USA,Current,https://en.wikipedia.org/wiki/Kansas_and_Oklahoma_Railroad,Kansas & Oklahoma Railroad,KORR
